时间,当日值,环比值,同比值
00:00:00,4237,3231,4004
00:01:00,4249,3361,4199
00:02:00,4395,3423,4214
00:03:00,4390,3341,4350
00:04:00,4471,3435,4228
00:05:00,4525,3352,4284
00:06:00,4544,3236,4322
00:07:00,4401,3251,4238
00:08:00,4281,3083,4393
00:09:00,4285,3147,4136
00:10:00,4286,3199,4178
00:11:00,4396,3026,3952
00:12:00,4191,2905,3970
00:13:00,4116,2989,4190
00:14:00,3754,2870,3845
00:15:00,3720,2860,3798
00:16:00,3801,2876,3939
00:17:00,3725,2778,3678
00:18:00,3644,2814,3717
00:19:00,3682,2780,3815
00:20:00,3612,2715,3702
00:21:00,3523,2719,3702
00:22:00,3569,2653,3541
00:23:00,3438,2521,3534
00:24:00,3620,2575,3536
00:25:00,3406,2555,3386
00:26:00,3459,2612,3506
00:27:00,3414,2495,3367
00:28:00,3324,2468,3398
00:29:00,3459,2471,3320
00:30:00,3350,2544,3254
00:31:00,3293,2492,3157
00:32:00,3146,2468,3060
00:33:00,3241,2533,3271
00:34:00,3173,2333,3215
00:35:00,3294,2337,3160
00:36:00,3150,2423,3151
00:37:00,3062,2240,3038
00:38:00,3096,2251,2997
00:39:00,2957,2175,2983
00:40:00,2931,2241,2992
00:41:00,2917,2175,2891
00:42:00,2938,2158,2929
00:43:00,2783,2113,2956
00:44:00,2893,2192,2935
00:45:00,2785,2129,2792
00:46:00,2803,2107,2797
00:47:00,2716,2098,2752
00:48:00,2732,2012,2762
00:49:00,2649,2031,2830
00:50:00,2737,2067,2727
00:51:00,2713,1904,2739
00:52:00,2697,1929,2756
00:53:00,2662,1962,2697
00:54:00,2560,1910,2625
00:55:00,2566,2015,2683
00:56:00,2599,1920,2654
00:57:00,2595,1953,2585
00:58:00,2671,1935,2555
00:59:00,2619,1910,2615
01:00:00,2600,1859,2574
01:01:00,2644,2002,2682
01:02:00,2660,1896,2717
01:03:00,2713,1990,2721
01:04:00,2610,1883,2601
01:05:00,2567,1926,2581
01:06:00,2618,1875,2489
01:07:00,2593,1997,2461
01:08:00,2473,1901,2414
01:09:00,2587,1874,2414
01:10:00,2574,1843,2541
01:11:00,2531,1746,2527
01:12:00,2549,1844,2491
01:13:00,2344,1766,2351
01:14:00,2484,1759,2419
01:15:00,2389,1747,2322
01:16:00,2325,1699,2398
01:17:00,2406,1684,2297
01:18:00,2347,1666,2277
01:19:00,2271,1646,2288
01:20:00,2339,1671,2246
01:21:00,2325,1558,2276
01:22:00,2164,1623,2178
01:23:00,2236,1553,2217
01:24:00,2193,1644,2209
01:25:00,2182,1630,2115
01:26:00,2088,1536,2183
01:27:00,2096,1561,2060
01:28:00,2019,1492,2124
01:29:00,2089,1484,2016
01:30:00,2032,1549,2127
01:31:00,2084,1494,1951
01:32:00,2001,1509,2023
01:33:00,2031,1505,1990
01:34:00,1917,1462,1921
01:35:00,2025,1559,1936
01:36:00,1970,1517,2010
01:37:00,1929,1554,1899
01:38:00,1957,1455,1969
01:39:00,1938,1456,1912
01:40:00,1851,1499,1822
01:41:00,1905,1475,1922
01:42:00,1938,1447,1922
01:43:00,1862,1413,1911
01:44:00,1858,1414,1844
01:45:00,1820,1412,1817
01:46:00,1813,1375,1845
01:47:00,1764,1338,1811
01:48:00,1775,1354,1722
01:49:00,1703,1327,1790
01:50:00,1721,1402,1752
01:51:00,1735,1443,1714
01:52:00,1749,1358,1743
01:53:00,1648,1340,1694
01:54:00,1759,1338,1755
01:55:00,1727,1351,1758
01:56:00,1733,1297,1704
01:57:00,1778,1288,1707
01:58:00,1696,1250,1746
01:59:00,1714,1341,1677
02:00:00,1790,1272,1802
02:01:00,1705,1331,1713
02:02:00,1751,1317,1691
02:03:00,1772,1358,1725
02:04:00,1803,1332,1795
02:05:00,1838,1304,1731
02:06:00,1726,1329,1661
02:07:00,1705,1324,1731
02:08:00,1656,1272,1713
02:09:00,1712,1199,1630
02:10:00,1719,1253,1611
02:11:00,1672,1276,1551
02:12:00,1709,1244,1576
02:13:00,1616,1171,1578
02:14:00,1558,1232,1548
02:15:00,1555,1158,1569
02:16:00,1566,1133,1471
02:17:00,1536,1148,1482
02:18:00,1532,1136,1478
02:19:00,1525,1066,1427
02:20:00,1500,1090,1423
02:21:00,1490,1018,1391
02:22:00,1478,1104,1400
02:23:00,1435,1034,1388
02:24:00,1437,1023,1386
02:25:00,1428,1083,1386
02:26:00,1360,1094,1364
02:27:00,1409,1006,1355
02:28:00,1434,1034,1278
02:29:00,1373,1000,1264
02:30:00,1340,981,1237
02:31:00,1360,986,1334
02:32:00,1294,1035,1195
02:33:00,1248,983,1266
02:34:00,1244,963,1229
02:35:00,1311,993,1160
02:36:00,1210,962,1200
02:37:00,1184,891,1197
02:38:00,1270,885,1125
02:39:00,1235,892,1185
02:40:00,1235,888,1161
02:41:00,1176,807,1155
02:42:00,1140,830,1139
02:43:00,1175,878,1164
02:44:00,1147,873,1178
02:45:00,1162,860,1142
02:46:00,1188,893,1173
02:47:00,1190,804,1151
02:48:00,1066,772,1158
02:49:00,1090,924,1118
02:50:00,1112,895,1046
02:51:00,1071,836,1069
02:52:00,1089,743,1043
02:53:00,1160,793,1115
02:54:00,1071,843,1058
02:55:00,1042,834,1029
02:56:00,1047,780,1041
02:57:00,1122,806,1019
02:58:00,1071,761,1070
02:59:00,1088,778,1031
03:00:00,1023,800,1066
03:01:00,1058,796,1096
03:02:00,1038,771,1033
03:03:00,1085,731,1055
03:04:00,1054,795,1054
03:05:00,1100,699,972
03:06:00,1044,769,1030
03:07:00,1043,748,967
03:08:00,1055,714,975
03:09:00,1029,699,981
03:10:00,1017,679,930
03:11:00,965,681,878
03:12:00,1024,670,961
03:13:00,919,715,907
03:14:00,944,722,907
03:15:00,922,697,919
03:16:00,896,665,915
03:17:00,822,631,837
03:18:00,878,622,860
03:19:00,919,668,863
03:20:00,862,657,858
03:21:00,833,618,875
03:22:00,825,612,880
03:23:00,887,610,832
03:24:00,847,565,786
03:25:00,878,595,819
03:26:00,832,628,854
03:27:00,823,611,802
03:28:00,849,584,827
03:29:00,864,613,787
03:30:00,773,585,770
03:31:00,828,572,744
03:32:00,805,589,803
03:33:00,738,567,743
03:34:00,769,590,778
03:35:00,797,539,762
03:36:00,757,547,767
03:37:00,740,568,800
03:38:00,749,525,788
03:39:00,719,499,703
03:40:00,708,525,764
03:41:00,721,510,741
03:42:00,696,523,724
03:43:00,693,509,706
03:44:00,720,540,737
03:45:00,743,498,640
03:46:00,682,502,744
03:47:00,681,497,663
03:48:00,630,446,673
03:49:00,629,497,663
03:50:00,642,507,690
03:51:00,705,497,636
03:52:00,632,499,671
03:53:00,627,464,656
03:54:00,672,443,671
03:55:00,676,472,673
03:56:00,684,467,678
03:57:00,654,505,692
03:58:00,655,499,631
03:59:00,714,478,669
04:00:00,630,476,661
04:01:00,621,485,670
04:02:00,616,491,622
04:03:00,639,495,692
04:04:00,645,468,660
04:05:00,658,447,696
04:06:00,648,469,696
04:07:00,597,538,670
04:08:00,617,445,667
04:09:00,662,471,686
04:10:00,600,447,663
04:11:00,595,467,696
04:12:00,577,488,652
04:13:00,605,492,700
04:14:00,593,466,634
